male_template	female_template	min_health	max_health	min_strength	max_strength	min_constitution	max_constitution	min_action	max_action	min_quickness	max_quickness	min_stamina	max_stamina	min_mind	max_mind	min_focus	max_focus	min_willpower	max_willpower	total
s	s	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i
bothan_male	bothan_female	300	1000	300	500	300	400	600	1300	400	750	400	500	400	1100	400	600	300	500	5400
human_male	human_female	400	1100	400	1100	400	1100	400	1100	400	1100	400	1100	400	1100	400	1100	400	1100	5400
moncal_male	moncal_female	300	1000	300	500	300	400	300	1000	300	450	450	550	600	1300	600	800	450	650	5400
rodian_male	rodian_female	300	1000	300	500	300	400	300	1200	300	650	450	850	300	1000	300	500	350	550	5400
trandoshan_male	trandoshan_female	550	1250	600	800	700	800	300	1000	300	450	300	400	300	1000	300	500	300	600	5550
twilek_male	twilek_female	300	1000	300	500	550	650	550	1250	600	750	300	400	400	1200	300	500	300	500	5400
wookiee_male	wookiee_female	650	1350	650	850	450	550	500	1200	400	550	400	500	400	1100	450	650	450	600	6100
zabrak_male	zabrak_female	500	1200	300	500	300	400	600	1300	300	450	300	400	300	1000	300	500	700	900	5400
sullustan_male	sullustan_female	400	1100	400	1100	400	1100	400	1100	400	1100	400	1100	400	1100	400	1100	400	1100	5400
ithorian_male	ithorian_female	400	1100	400	1100	400	1100	400	1100	400	1100	400	1100	400	1100	400	1100	400	1100	5400
