male_template	female_template	health	strength	constitution	action	quickness	stamina	mind	focus	willpower
s	s	I	I	I	I	I	I	I	I	I
bothan_male	bothan_female	0	0	0	300	300	100	100	100	0
human_male	human_female	100	100	100	100	100	100	100	100	100
moncal_male	moncal_female	0	0	0	0	0	150	300	300	150
rodian_male	rodian_female	0	0	0	200	200	450	0	0	50
trandoshan_male	trandoshan_female	250	300	400	0	0	0	0	0	100
twilek_male	twilek_female	0	0	250	250	300	0	100	0	0
wookiee_male	wookiee_female	350	350	150	200	100	100	100	150	100
zabrak_male	zabrak_female	200	0	0	300	0	0	0	0	400
sullustan_male	sullustan_female	0	0	0	0	0	0	0	0	0
ithorian_male	ithorian_female	0	0	0	0	0	0	0	0	0
